episode,reward,avg_reward
0,14.350008367701005,14.350008367701005
1,15.830360098746054,15.090184233223528
2,17.375565340987844,15.851977935811632
3,15.170919404248073,15.681713302920743
4,16.405519856495477,15.82647461363569
5,15.967545696984791,15.84998646086054
6,16.98092839323712,16.011549594057193
7,15.398467726595332,15.934914360624461
8,15.066456293086967,15.838419019786961
9,16.080589523757084,15.862636070183973
10,16.264796882724344,15.89919614405128
11,16.768346704965793,15.971625357460823
12,14.938633837499314,15.892164471309938
13,16.90595953203563,15.964578404218916
14,15.73675798043642,15.949390375966749
15,16.67374002292553,15.994662228901676
16,17.303835490680257,16.071672420771005
17,17.748749155847236,16.164843350497463
18,17.6490402710886,16.242958977896997
19,16.729916495374233,16.267306853770858
20,18.235846383279792,16.361046831366522
21,17.334896187620465,16.40531271119625
22,17.13306934321003,16.4369543038925
23,17.325045941304793,16.47395812211801
24,17.97728509242,16.53409120093009
25,18.09954195520948,16.59430084532545
26,15.64020624686622,16.558964008345477
27,15.84667619023209,16.53352515769857
28,16.47944787979075,16.531660423977613
29,17.320808748456585,16.55796536812691
30,17.615048155473914,16.59206481288004
31,17.38881511870193,16.616963259936973
32,15.3802572030262,16.579487318818465
33,16.971206914722927,16.591008483403893
34,17.01993092846641,16.60326341040568
35,18.52020668075274,16.656511834581988
36,15.105513722007363,16.614592966674564
37,18.961474216931986,16.676352999576075
38,19.84534566518157,16.757609221771084
39,17.849357600597745,16.784902931241753
40,17.31569825211094,16.797849158580025
41,16.832710769684258,16.798679196939652
42,16.91559322162322,16.801398127746246
43,16.687745126919253,16.798815105000177
44,17.696599094583057,16.81876586032424
45,15.20085396089579,16.78359386251058
46,16.199239929551908,16.771160800107204
47,18.653613299846064,16.81037856051843
48,17.148744540157864,16.817283988674337
49,17.09520963808464,16.822842501662542
50,16.88721261026178,16.824104660654683
51,18.810773578786378,16.862309832157216
52,16.908168721524902,16.863175094220757
53,14.741683970838713,16.823888221565536
54,14.386865929783196,16.77957872535131
55,17.51851978083153,16.79277410134203
56,16.697011221212748,16.791094050813445
57,16.672884293016697,16.789055951541087
58,16.793930658475418,16.78913857369252
59,16.290862596556803,16.78083397407359
60,17.82207740763131,16.797903538558145
61,16.628607361415128,16.795172955055836
62,17.529263771262865,16.806825190233724
63,14.986434103458187,16.778381579502856
64,15.97191133889022,16.765974345031893
65,18.175525365669287,16.787331178677913
66,17.868187129914674,16.803463357054586
67,16.904719570920236,16.804952419023195
68,15.904729863925718,16.79190571532613
69,17.881078749517183,16.80746533010029
70,16.369426429713336,16.801295768123005
71,14.751962580873315,16.772832807188983
72,16.278988292292244,16.766067813834233
73,17.26642653531488,16.772829418178567
74,17.74945284030267,16.785851063806888
75,18.947219336977245,16.814290120032815
76,16.277484133321295,16.807318613711885
77,16.537695910909836,16.80386191239391
78,16.237438504259778,16.79669199583525
79,18.427968753389834,16.81708295530468
80,17.881512344373746,16.830224058873434
81,17.05180461353763,16.83292626075958
82,16.054265745926642,16.823544808773644
83,18.968649530071637,16.849081769741478
84,17.222364973249423,16.85347333684157
85,17.394817805602877,16.8597680399667
86,15.525332956202245,16.844429705670557
87,15.973986830222593,16.834538309358653
88,16.33947806858208,16.828975834743186
89,15.429857324554831,16.813430073518873
90,16.492176387812545,16.809899813236385
91,17.650032014733025,16.81903168499178
92,17.56498407238155,16.827052678404577
93,16.6849338946509,16.82554077644975
94,18.607780991978377,16.844301199771103
95,17.783733942699467,16.85408695750994
96,17.667814061254873,16.8624758967238
97,15.670282574209324,16.85031065873896
98,15.033974902634693,16.831963832919726
99,15.588252906896322,16.819526723659493
100,15.877880012273753,16.83480544010522
101,16.659894768231567,16.84310078680008
102,16.553432058596776,16.834879453976168
103,16.03482662103814,16.843518526144067
104,16.38506603470503,16.84331398792616
105,17.64744254443587,16.86011295640067
106,16.760695092546552,16.857910623393764
107,15.88257191012802,16.862751665229087
108,16.23406036329343,16.874427705931154
109,17.741802002634167,16.89103983071993
110,15.897390895115407,16.88736577084384
111,17.545251705084357,16.895134820845023
112,17.727574385464827,16.92302422632468
113,16.366276380231252,16.91762739480664
114,17.064797425828854,16.930907789260562
115,16.437667439455844,16.928547063425864
116,17.60964254497471,16.93160513396881
117,15.81005054656019,16.91221814787594
118,14.647132989239966,16.88219907505745
119,18.074781359033924,16.89564772369405
120,16.897464834708455,16.882263908208337
121,19.074903303150098,16.89966397936363
122,15.649296518497328,16.884826251116504
123,17.396751003012078,16.885543301733573
124,16.843497275231943,16.874205423561694
125,16.301242885050446,16.856222432860104
126,15.686450794324626,16.85668487833469
127,17.850793672153728,16.876726053153906
128,15.949222794334505,16.871423802299343
129,15.727327459101382,16.855488989405792
130,14.57977526102231,16.825136260461274
131,15.705706826283002,16.808305177537086
132,15.364695378448385,16.80814955929131
133,18.39339939804278,16.822371484124506
134,17.523641574022413,16.827408590580063
135,17.51400516282247,16.817346575400762
136,16.300474720667395,16.82929618538736
